station_name,station_id,capacity,mechanical_bikes,electric_bikes,total_bikes_available,available_docks,latitude,longitude,commune_code,commune_name,is_installed,is_renting,is_returning,updated_at
Marcelle - Thalie,35020,20,0,2,2,18,48.8835462,2.4137883,93055,Pantin,True,True,True,2026-03-12T15:36:01+00:00
Victoire - Chaussée d'Antin,9116,24,10,6,16,8,48.875065791004396,2.3316738009452824,75056,Paris,True,True,True,2026-03-12T15:29:17+00:00
Assas - Rennes,6025,32,6,3,9,21,48.8492084999386,2.32851454623001,75056,Paris,True,True,True,2026-03-12T15:37:35+00:00
Quai des Célestins - Henri IV,4201,12,5,0,5,7,48.851290697625,2.3624387532495,75056,Paris,True,True,True,2026-03-12T15:32:35+00:00
Cambon - Rivoli,1020,40,11,12,23,15,48.866143390992,2.3251800647137,75056,Paris,True,True,True,2026-03-12T15:37:51+00:00
Legendre - Dulong,17013,23,0,1,1,20,48.885325169402904,2.316423766314984,75056,Paris,True,True,True,2026-03-12T15:37:01+00:00
Chemin Vert - Saint-Maur,11026,45,4,5,9,35,48.86112461407359,2.381299026310444,75056,Paris,True,True,True,2026-03-12T15:37:54+00:00
Square du Théâtre du Garde-Chasse,32604,50,0,2,2,48,48.881287375060616,2.420119643211365,93045,Les Lilas,True,True,True,2026-03-12T15:34:59+00:00
Botzaris - Parc des Buttes Chaumont,19024,20,0,2,2,17,48.877951,2.381464,75056,Paris,True,True,True,2026-03-12T15:35:49+00:00
Général De Gaulle - Alouette,41601,26,5,5,10,14,48.839109,2.4175664,94067,Saint-Mandé,True,True,True,2026-03-12T15:36:46+00:00
Place Madeleine Daniélou,17105,42,6,1,7,35,48.883498,2.282015,75056,Paris,True,True,True,2026-03-12T15:34:59+00:00
Jean-François Lépine - Stephenson,18009,22,0,0,0,21,48.88611466796807,2.356855627529275,75056,Paris,True,True,True,2026-03-12T15:34:14+00:00
Carnot - Général Lanrezac,17033,30,2,8,10,20,48.875443870736,2.2938242935036,75056,Paris,True,True,True,2026-03-12T15:38:15+00:00
Place de Barcelone - Mirabeau,16030,55,37,2,39,15,48.847623027364,2.2735664248466,75056,Paris,True,True,True,2026-03-12T15:37:39+00:00
Théophile Gautier - François Millet,16136,30,12,0,12,17,48.85034821320644,2.273029983043671,75056,Paris,True,True,True,2026-03-12T15:36:22+00:00
Marché Secrétan,19022,26,0,5,5,21,48.88125496379482,2.373463287949562,75056,Paris,True,True,True,2026-03-12T15:37:55+00:00
Arche - Léonard de Vinci,24001,28,4,6,10,18,48.89790972494496,2.2383723043644914,92026,Courbevoie,True,True,True,2026-03-12T15:37:09+00:00
Charles de Gaulle - Sablonville,22016,26,6,9,15,11,48.87991924860035,2.2763770446181297,92051,Neuilly-sur-Seine,True,True,True,2026-03-12T15:33:02+00:00
Auguste Cain - Jean Moulin,14136,40,7,2,9,30,48.82577028927573,2.3210415244102482,75056,Paris,True,True,True,2026-03-12T15:35:38+00:00
Parc Georges Brassens - Brancion,15046,29,1,1,2,27,48.83227829269761,2.3022570088505745,75056,Paris,True,True,True,2026-03-12T15:34:59+00:00
Place Paul Eluard,46001,19,1,4,5,14,48.7672039733195,2.4144977331161503,94022,Choisy-le-Roi,True,True,True,2026-03-12T15:33:21+00:00
Aristide Briand - Gare de Bagneux,42302,22,2,2,4,16,48.79387269664978,2.321148812770844,94016,Cachan,True,True,True,2026-03-12T15:33:47+00:00
Seine - Flandre,19029,19,3,4,7,11,48.886785741479684,2.3746193200349808,75056,Paris,True,True,True,2026-03-12T15:34:19+00:00
Hautpoul - Jean Jaurès,19016,32,4,1,5,25,48.886393679436,2.3865414544355,75056,Paris,True,True,True,2026-03-12T15:33:51+00:00
Wilson - Métallurgie,32003,28,4,6,10,17,48.909423010092326,2.3584435880184174,93066,Saint-Denis,True,True,True,2026-03-12T15:34:35+00:00
Grand Prieuré - Crussol,11042,49,41,3,44,3,48.864660627935,2.3692265531829,75056,Paris,True,True,True,2026-03-12T15:37:44+00:00
Leroy des Barres - Médiathèque,32026,26,5,9,14,11,48.928253687082,2.3681719727966,93066,Saint-Denis,True,True,True,2026-03-12T15:37:58+00:00
Prague - Théophile Roussel,12204,34,27,2,29,0,48.850330563516,2.3758223011125,75056,Paris,True,True,True,2026-03-12T15:36:06+00:00
Laumière - Petit,19013,34,0,3,3,26,48.88467368538326,2.380039058625698,75056,Paris,True,True,True,2026-03-12T15:33:46+00:00
Boétie - Ponthieu,8050,45,19,13,32,11,48.871417284355,2.3076787590981,75056,Paris,True,True,True,2026-03-12T15:37:53+00:00
Hôpital Bégin,43003,26,17,8,25,1,48.84571672113,2.4272462725639,94080,Vincennes,True,True,True,2026-03-12T15:38:06+00:00
Gare RER de Gentilly,42504,30,0,8,8,22,48.814280450380224,2.3410347104072575,94037,Gentilly,True,True,True,2026-03-12T15:38:12+00:00
Villiers de l'Isle Adam - Pyrénées,20111,20,0,2,2,18,48.867362,2.396222,75056,Paris,True,True,True,2026-03-12T15:37:02+00:00
Charonne - Avron,20043,27,2,2,4,23,48.851602665222,2.3984030470379,75056,Paris,True,True,True,2026-03-12T15:35:28+00:00
Place de la Porte de Paris,32016,40,3,2,5,34,48.93009363207303,2.3564037680625916,93066,Saint-Denis,True,True,True,2026-03-12T15:38:10+00:00
Hôtel de Ville de Nanterre,92008,38,2,2,4,33,48.892371898250424,2.205548956990242,92050,Nanterre,True,True,True,2026-03-12T15:31:35+00:00
Place de l'Édit de Nantes,19125,30,3,3,6,23,48.88879,2.3785,75056,Paris,True,True,True,2026-03-12T15:36:22+00:00
Boulard - Daguerre,14036,45,1,0,1,44,48.83446472680611,2.3293386027216907,75056,Paris,True,True,True,2026-03-12T15:29:55+00:00
Mairie du 4ème,4015,44,24,3,27,15,48.855949910497,2.3563823103905,75056,Paris,True,True,True,2026-03-12T15:36:57+00:00
Henri Barbusse,31203,30,5,4,9,19,48.932092978246,2.3982878482409,93027,La Courneuve,True,True,True,2026-03-12T15:36:35+00:00
Flandre - Alphonse Karr,19008,26,6,2,8,16,48.89465,2.381868,75056,Paris,True,True,True,2026-03-12T15:37:13+00:00
Saint Georges - d'Aumale,9021,23,1,3,4,17,48.87778639599673,2.337429821491241,75056,Paris,True,True,True,2026-03-12T15:35:28+00:00
Anatole France - Louise Michel,23009,50,16,2,18,31,48.88873214926474,2.2881576418876652,92044,Levallois-Perret,True,True,True,2026-03-12T15:37:22+00:00
Montgallet - Charenton,12027,16,6,1,7,9,48.842647778701,2.3861649278137,75056,Paris,True,True,True,2026-03-12T15:37:01+00:00
Guynemer - Séverine,21313,26,23,1,24,2,48.83091743371036,2.2790706530213356,92040,Issy-les-Moulineaux,True,True,True,2026-03-12T15:38:04+00:00
Richard Wallace - Place du 8 Mai 1945,28001,30,7,6,13,15,48.87866794788021,2.2420343756675725,92062,Puteaux,True,True,True,2026-03-12T15:35:46+00:00
Square Gilbert Thomain,26007,20,1,16,17,2,48.90717373809284,2.2695400938391685,92004,Asnières-sur-Seine,True,True,True,2026-03-12T15:34:57+00:00
Ancien Canal - Hélène Brion,35018,23,2,2,4,18,48.89484799296163,2.4188338592648506,93055,Pantin,True,True,True,2026-03-12T15:31:53+00:00
Flandre - Riquet,19005,21,3,3,6,14,48.888013281448,2.3737595955229,75056,Paris,True,True,True,2026-03-12T15:34:37+00:00
Parmentier - Hôpital Saint-Louis,10113,43,2,5,7,36,48.871379874257,2.3698963836667,75056,Paris,True,True,True,2026-03-12T15:34:00+00:00
Edouard Poisson - Victor Hugo,33018,30,5,2,7,18,48.91118557052621,2.379864752692811,93001,Aubervilliers,True,True,True,2026-03-12T15:35:18+00:00
Montgallet - Reuilly,12013,15,1,3,4,11,48.844291,2.3896481,75056,Paris,True,True,True,2026-03-12T15:37:43+00:00
Montreuil - Gonnet,11115,24,5,6,11,11,48.850500564921,2.3890856287864,75056,Paris,True,True,True,2026-03-12T15:37:42+00:00
Jacques Callot - Mazarine,6013,28,6,15,21,6,48.855280175332,2.3375743255019,75056,Paris,True,True,True,2026-03-12T15:34:45+00:00
Porte de Vincennes,12115,33,13,1,14,17,48.846454,2.415514,75056,Paris,True,True,True,2026-03-12T15:35:58+00:00
Place Jacques Madaule,21305,25,7,0,7,16,48.823933787309,2.2606918215752,92040,Issy-les-Moulineaux,True,True,True,2026-03-12T15:34:03+00:00
Gare de Laplace,41102,43,7,5,12,31,48.80893199114179,2.3349460959434514,94003,Arcueil,True,True,True,2026-03-12T15:37:14+00:00
Route de Sèvres - Porte de Bagatelle,16124,66,28,6,34,31,48.87525984132485,2.249415814876557,75056,Paris,True,True,True,2026-03-12T15:38:14+00:00
Bordier - Félix Faure,33003,48,4,5,9,39,48.90390751882016,2.3830059170722966,93001,Aubervilliers,True,True,True,2026-03-12T15:37:31+00:00
Félix Faure - Sadi Carnot,33009,33,7,2,9,25,48.90812110228388,2.378623187541962,93001,Aubervilliers,True,True,True,2026-03-12T15:34:17+00:00
Place Violet,15033,45,26,5,31,13,48.844878938365,2.2905756533146,75056,Paris,True,True,True,2026-03-12T15:37:38+00:00
18 juin 1940 - Buzenval,25005,25,0,11,11,13,48.868807,2.185428,92063,Rueil-Malmaison,True,True,True,2026-03-12T15:38:05+00:00
Mairie de La Garenne Colombes,22505,22,6,5,11,10,48.90663823468682,2.24679596722126,92035,La Garenne-Colombes,True,True,True,2026-03-12T15:38:13+00:00
Porte de la Villette,19115,27,7,1,8,17,48.89835196548483,2.386150136590004,75056,Paris,True,True,True,2026-03-12T15:35:39+00:00
Place aux Étoiles,32010,40,3,17,20,20,48.91835629408464,2.3523425683379173,93066,Saint-Denis,True,True,True,2026-03-12T15:36:09+00:00
Flandrin - Henri Martin,16018,18,1,4,5,13,48.8643275,2.2724174,75056,Paris,True,True,True,2026-03-12T15:28:41+00:00
Carnot - Pâquerettes,41404,26,1,13,14,10,48.79592939432515,2.4261841177940373,94002,Alfortville,True,True,True,2026-03-12T15:36:57+00:00
Jules Ferry - Faubourg du Temple Paris,11036,58,39,3,42,16,48.868397,2.3678933,75056,Paris,True,True,True,2026-03-12T15:37:56+00:00
Gare Montparnasse - René Mouchotte,14117,41,0,2,2,39,48.839203843292,2.3208839446306,75056,Paris,True,True,True,2026-03-12T15:31:28+00:00
Place Jean-Baptiste Clément,42707,24,4,6,10,13,48.81240466867336,2.3617091774940495,94043,Le Kremlin-Bicêtre,True,True,True,2026-03-12T15:37:46+00:00
Chanzy - Sud-Est,92003,25,3,8,11,14,48.888912037698766,2.195632159709931,92050,Nanterre,True,True,True,2026-03-12T15:37:12+00:00
Jussieu - Guy de la Brosse,5119,40,7,5,12,27,48.845665,2.355653,75056,Paris,True,True,True,2026-03-12T15:37:40+00:00
Jean Lolive - Parc Stalingrad,35009,22,4,11,15,7,48.89206174403158,2.4091735482215886,93055,Pantin,True,True,True,2026-03-12T15:34:38+00:00
Parc Pierre Lagravère,27002,30,10,13,23,4,48.92650488131725,2.239069678491417,92025,Colombes,True,True,True,2026-03-12T15:37:11+00:00
Guichet - Jean Jaurès,21109,28,0,5,5,19,48.905169868129036,2.3023840785026555,92024,Clichy,True,True,True,2026-03-12T15:35:18+00:00
